680 0.97
702 0.98
725 0.97
747 0.97
772 0.97
794 0.99
817 1.00
839 0.99
864 0.97
887 0.98
909 1.01
932 1.04
956 1.07
979 1.02
1001 1.02
1026 0.99
1048 1.01
1071 1.01
1093 0.99
1118 0.99
1140 0.98
1163 1.00
1186 0.99
1210 1.00
1233 1.00
1255 0.99
1278 0.97
1302 0.98
1325 1.00
1347 0.96
1370 0.95
1394 0.96
1417 0.96
1439 0.93
1462 0.91
1487 0.91
1509 0.89
1532 0.89
1554 0.89
1579 0.88
1601 0.90
1624 0.92
1646 0.90
1671 0.90
1693 0.84
1716 0.73
1738 0.88
1763 1.04
1786 1.15
1808 1.18
1831 1.19
1855 1.29
1878 1.20
1900 1.11
1923 1.12
1947 1.21
1970 1.46
1992 1.46
2015 1.42
2040 1.36
2062 1.29
2085 1.25
2107 1.15
2132 0.99
2154 0.92
2177 0.94
2199 0.86
2224 0.77
2246 0.86
2269 0.88
2291 0.97
2316 1.06
2339 1.09
2361 1.07
2384 0.97
2408 0.96
2431 0.96
2453 0.97
2476 0.94
2500 0.99
2523 0.98
2545 0.98
2568 0.99
2592 1.03
2615 1.06
2638 1.07
2660 0.98
2685 0.81
2707 0.76
2730 0.74
2752 0.92
2777 1.45
2799 1.17
2822 1.28
2844 1.33
2869 1.31
2892 1.31
2914 1.32
2937 1.37
2961 1.42
2984 1.40
3006 1.30
3029 1.14
3053 1.14
3076 1.12
3098 1.12
3121 1.06
3145 1.01
3168 0.86
3191 0.83
3213 0.80
3238 0.85
3260 0.90
3283 0.89
3305 0.98
3330 0.97
3352 0.94
3375 0.98
3397 1.00
3422 1.00
3444 1.06
3467 1.04
3492 1.08
3514 1.19
3537 1.26
3559 1.32
3584 1.01
3606 0.88
3629 0.96
3651 1.14
3676 1.29
3698 1.46
3721 1.60
3743 1.86
3768 2.08
3791 1.87
3813 1.52
3836 1.29
3860 1.32
3883 1.46
3905 1.41
3928 1.29
3952 1.25
3975 1.11
3997 1.01
4020 0.94
4045 0.83
4067 0.75
4090 0.75
4112 0.86
4137 0.83
4159 0.87
4182 0.88
4204 0.98
4229 1.03
4251 0.98
4274 1.03
4296 1.03
4321 1.06
4344 1.04
4366 1.12
4389 1.25
4413 1.37
4436 1.37
4458 1.33
4481 1.34
4505 1.02
4528 1.03
4550 1.34
4573 1.35
4597 1.17
4620 1.13
4643 1.30
4665 1.57
4690 1.79
4712 1.86
4735 1.94
4757 1.50
4782 1.36
4804 1.29
4827 1.22
4849 1.22
4874 1.19
4896 0.99
4919 0.90
4942 0.80
4966 0.80
4989 0.79
5011 0.74
5034 0.80
5058 0.79
5081 0.79
5103 0.87
5126 0.95
5150 0.99
5173 1.06
5196 1.12
5218 1.14
5243 1.26
5265 1.59
5288 1.93
5310 1.36
5335 1.06
5357 0.84
5380 0.85
5402 1.11
5427 1.29
5449 1.23
5472 1.22
5495 1.22
5519 1.29
5542 1.35
5564 1.32
5589 1.32
5611 1.38
5634 1.45
5656 1.57
5681 1.61
5703 1.31
5726 1.18
5748 1.15
5773 1.14
5796 1.09
5818 1.01
5841 0.88
5865 0.82
5888 0.81
5910 0.69
5933 0.70
5957 0.93
5980 0.96
6002 0.94
6025 0.96
6050 1.01
6072 1.05
6095 1.13
6117 1.30
6142 1.50
6164 1.42
6187 1.18
6209 1.02
6234 0.81
6256 0.96
6279 1.55
6301 1.35
6326 0.91
6349 1.02
6371 1.46
6394 1.65
6418 1.63
6441 1.36
6463 1.26
6486 1.08
6510 1.19
6533 1.17
6555 1.18
6578 1.05
6602 1.00
6625 1.06
6648 1.02
6670 1.01
6695 0.99
6717 0.93
6740 0.97
6762 0.84
6787 0.82
6809 0.94
6832 1.00
6854 1.06
6879 1.02
6901 0.91
6924 0.90
6947 0.93
6971 0.94
6994 0.93
7016 0.94
7039 0.96
7063 0.94
7086 0.96
7108 0.91
7131 0.92
7155 0.97
7178 1.00
7200 0.96
7223 0.94
7248 0.95
7270 0.94
7293 1.31
